epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43.5485,0.4016,0.33373,0.85228,0.99423,0.99755,0.995,0.97071,0.26653,0.23061,0.77405,0.000456863,0.000456863,0.000456863
43,44.5374,0.38883,0.31963,0.83926,0.99555,0.99701,0.995,0.96199,0.26908,0.23203,0.77225,0.00044925,0.00044925,0.00044925
44,45.5194,0.36477,0.31433,0.84073,0.99454,0.99677,0.995,0.96304,0.2757,0.22487,0.77265,0.000441637,0.000441637,0.000441637
45,46.5759,0.35931,0.32981,0.82958,0.99772,0.99164,0.99481,0.96178,0.2751,0.22184,0.77251,0.000434024,0.000434024,0.000434024
46,47.5358,0.37141,0.32196,0.82619,0.99828,0.99067,0.99481,0.96683,0.26901,0.22042,0.77323,0.000426411,0.000426411,0.000426411
47,48.453,0.35024,0.31103,0.82607,0.99691,0.99699,0.995,0.96864,0.26377,0.22587,0.77383,0.000418797,0.000418797,0.000418797
48,49.3681,0.33829,0.3037,0.82308,0.9966,0.99789,0.995,0.96982,0.26288,0.21722,0.77276,0.000411184,0.000411184,0.000411184
49,50.2665,0.40144,0.3275,0.86672,0.99688,0.99848,0.995,0.96908,0.2594,0.2142,0.77221,0.000403571,0.000403571,0.000403571
50,51.196,0.36029,0.3012,0.84743,0.99756,1,0.995,0.96814,0.25711,0.21815,0.77176,0.000395958,0.000395958,0.000395958
51,52.154,0.35771,0.30202,0.83631,0.99744,1,0.995,0.96472,0.27477,0.22049,0.7732,0.000388345,0.000388345,0.000388345
52,53.0801,0.36346,0.30427,0.8415,0.99706,1,0.995,0.9733,0.25579,0.21087,0.77037,0.000380732,0.000380732,0.000380732
53,54.05,0.36003,0.31044,0.84259,0.99622,1,0.995,0.96786,0.2592,0.2092,0.77044,0.000373119,0.000373119,0.000373119
54,55.1195,0.34972,0.29813,0.83412,0.99706,0.9993,0.995,0.96517,0.26652,0.20625,0.77085,0.000365506,0.000365506,0.000365506
55,56.0428,0.34329,0.30357,0.83387,0.99722,0.99999,0.995,0.97466,0.25673,0.21018,0.76971,0.000357893,0.000357893,0.000357893
56,57.0343,0.35995,0.30193,0.84034,0.99675,1,0.995,0.97791,0.25274,0.20817,0.76992,0.00035028,0.00035028,0.00035028
57,57.9918,0.33693,0.28685,0.83476,0.99693,1,0.995,0.97843,0.24832,0.20322,0.77029,0.000342666,0.000342666,0.000342666
58,58.9573,0.33354,0.29104,0.82769,0.99706,1,0.995,0.97592,0.24358,0.20519,0.76973,0.000335053,0.000335053,0.000335053
59,59.8653,0.33636,0.28346,0.84478,0.9944,1,0.995,0.97315,0.24169,0.1983,0.76826,0.00032744,0.00032744,0.00032744
60,60.7685,0.33372,0.28143,0.83608,0.99498,1,0.995,0.97373,0.24534,0.20074,0.76807,0.000319827,0.000319827,0.000319827
61,61.7207,0.33646,0.28316,0.82955,0.99507,1,0.995,0.97264,0.24677,0.20003,0.76836,0.000312214,0.000312214,0.000312214
62,62.6491,0.34003,0.28128,0.84786,0.99136,1,0.995,0.97586,0.24073,0.19474,0.76809,0.000304601,0.000304601,0.000304601
63,63.5825,0.33727,0.27962,0.82037,0.9979,0.99311,0.995,0.97855,0.24102,0.19685,0.76681,0.000296988,0.000296988,0.000296988
64,64.7074,0.33102,0.27661,0.83487,0.99757,0.99316,0.995,0.98132,0.23765,0.196,0.76515,0.000289375,0.000289375,0.000289375
65,65.652,0.33853,0.27588,0.83234,0.99129,1,0.995,0.98099,0.23858,0.19174,0.76527,0.000281762,0.000281762,0.000281762
66,66.5796,0.32424,0.267,0.83685,0.99621,1,0.995,0.98027,0.23027,0.19051,0.76448,0.000274148,0.000274148,0.000274148
67,67.5087,0.32473,0.26905,0.82575,0.99729,1,0.995,0.97783,0.23576,0.19007,0.76572,0.000266535,0.000266535,0.000266535
68,68.4309,0.32017,0.26598,0.82199,0.99697,1,0.995,0.97313,0.24059,0.19035,0.76628,0.000258922,0.000258922,0.000258922
69,69.3413,0.32292,0.26184,0.83332,0.99642,1,0.995,0.97485,0.23864,0.18962,0.76613,0.000251309,0.000251309,0.000251309
70,70.2693,0.32132,0.26145,0.82694,0.99601,1,0.995,0.97933,0.2379,0.18559,0.76599,0.000243696,0.000243696,0.000243696
71,71.1946,0.3234,0.27184,0.8352,0.99675,1,0.995,0.97785,0.23257,0.18351,0.76501,0.000236083,0.000236083,0.000236083
72,72.116,0.31628,0.26703,0.82681,0.99715,1,0.995,0.98272,0.22648,0.17915,0.7649,0.00022847,0.00022847,0.00022847
